[DC]D;600500
[DC]MCD;601400
[DC]MMCD;602400
[DC]MMMCD;603400
[DCV]CD;605400
[DCX]CD;610400
[DCXIX]CD;619400
[DCXX]CD;620400
[DCXXX]CD;630400
[DCL]CD;650400
[DCXC]D;690500
[DCC]CD;700400
[DCC]D;700500
[DCCXC]CD;790400
[DCCC]CD;800400
[DCCC]D;800500
[CM]C;900100
[CM]MC;901100
[CM]MMC;902100
[CM]MMMC;903100
[CMX]MC;911100
[CMXX]MC;921100
[CMXXX]MC;931100
[CML]MC;951100
[M];1000000
[M]CM;1000900
[M]M;1001000
[M]MM;1002000
[M]MMM;1003000
[M][X]M;1011000
[M][XX]M;1021000
[M][XXX]M;1031000
[M][L]M;1051000
[M][C]CM;1100900
[M][C]M;1101000
[M][C]MCM;1101900
[M][C]MMCM;1102900
[M][C]MMMCM;1103900
[M][CV]CM;1105900
[M][CX]CM;1110900
[M][CXIX]CM;1119900
[M][CXX]CM;1120900
[M][CXXX]CM;1130900
[M][CL]CM;1150900
[M][CXC]M;1191000
[M][CC]CM;1200900
[M][CC]M;1201000
[M][CCXC]CM;1290900
[M][CCC]CM;1300900
[M][CCC]M;1301000
[M][CD]CM;1400900
[M][D]M;1501000
[M][CM];1900000
[M][CM]CM;1900900
[M][CM]MCM;1901900
[M][CM]MMCM;1902900
[M][CM]MMMCM;1903900
[M][CMX]MCM;1911900
[M][CMXX]MCM;1921900
[M][CMXXX]MCM;1931900
[M][CML]MCM;1951900
[MM];2000000
[MM]M;2001000
[MM]MM;2002000
[MM]MMM;2003000
[MM][X]MM;2012000
[MM][XX]MM;2022000
[MM][XXX]MM;2032000
[MM][L]MM;2052000
[MM][C]MM;2102000
[MM][CXC]MM;2192000
[MM][CC]MM;2202000
[MM][CCC]MM;2302000
[MM][D]MM;2502000
[MM][CM]M;2901000
[MMM];3000000
[MMM]M;3001000
[MMM]MM;3002000
[MMM]MMM;3003000
[MMM][X]MMM;3013000
[MMM][XX]MMM;3023000
[MMM][XXX]MMM;3033000
[MMM][L]MMM;3053000
[MMM][C]MMM;3103000
[MMM][CXC]MMM;3193000
[MMM][CC]MMM;3203000
[MMM][CCC]MMM;3303000
[MMM][D]MMM;3503000
[MMM][CM]MM;3902000
[[IV]]I;4000001
[[IV]]VI;4000006
[[IV]]XVI;4000016
[[IV]]XXVI;4000026
[[IV]]XXXVI;4000036
[[IV]]LVI;4000056
[[IV]]CVI;4000106
[[IV]]CXCVI;4000196
[[IV]]CCVI;4000206
[[IV]]CCCVI;4000306
[[IV]]DVI;4000506
[[IV]]MVI;4001006
[[IV]]MCMVI;4001906
[[IV]]MMVI;4002006
[[IV]]MMMVI;4003006
[[IV]][IV]I;4004001
[[IV]][V]I;4005001
[[IV]][V]VI;4005006
[[IV]][VI];4006000
[[IV]][X]VI;4010006
[[IV]][X]XVI;4010016
[[IV]][X]XXVI;4010026
[[IV]][X]XXXVI;4010036
[[IV]][X]LXVI;4010066
[[IV]][X]CXVI;4010116
[[IV]][X]CCXVI;4010216
[[IV]][X]CCCXVI;4010316
[[IV]][X]DXVI;4010516
[[IV]][X]MXVI;4011016
[[IV]][X]MCMXVI;4011916
[[IV]][X]MMXVI;4012016
[[IV]][X]MMMXVI;4013016
[[IV]][XV]I;4015001
[[IV]][XV]XVI;4015016
[[IV]][XVI];4016000
[[IV]][XIX]VI;4019006
[[IV]][XX]VI;4020006
[[IV]][XX]XVI;4020016
[[IV]][XX]XXVI;4020026
[[IV]][XX]XXXVI;4020036
[[IV]][XX]LXXVI;4020076
[[IV]][XX]CXXVI;4020126
[[IV]][XX]CCXXVI;4020226
[[IV]][XX]CCCXXVI;4020326
[[IV]][XX]DXXVI;4020526
[[IV]][XX]MXXVI;4021026
[[IV]][XX]MCMXXVI;4021926
[[IV]][XX]MMXXVI;4022026
[[IV]][XX]MMMXXVI;4023026
[[IV]][XXV]I;4025001
[[IV]][XXV]XXVI;4025026
[[IV]][XXVI];4026000
[[IV]][XXIX]XVI;4029016
[[IV]][XXX]VI;4030006
[[IV]][XXX]XVI;4030016
[[IV]][XXX]XXVI;4030026
[[IV]][XXX]XXXVI;4030036
[[IV]][XXX]LXXXVI;4030086
[[IV]][XXX]CXXXVI;4030136
